LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT(₱),WINNERS
Superlotto 6/49,43-35-49-17-30-15,5/12/2022,"15,840,000.00",0
Lotto 6/42,15-20-33-37-10-02,5/12/2022,"11,692,275.80",0
6Digit,4-4-3-0-9-6,5/12/2022,"330,143.62",0
Suertres Lotto 11AM,9-5-2,5/12/2022,"4,500.00",248
Suertres Lotto 4PM,5-0-2,5/12/2022,"4,500.00",497
Suertres Lotto 9PM,2-2-8,5/12/2022,"4,500.00",514
EZ2 Lotto 11AM,01-10,5/12/2022,"4,000.00",262
EZ2 Lotto 4PM,02-04,5/12/2022,"4,000.00",153
EZ2 Lotto 9PM,14-15,5/12/2022,"4,000.00",594
Grand Lotto 6/55,31-11-45-07-54-08,5/11/2022,"91,722,175.60",0
Megalotto 6/45,36-06-27-45-35-09,5/11/2022,"21,417,572.20",0
4Digit,3-0-3-1,5/11/2022,"10,000.00",69
Suertres Lotto 11AM,1-1-0,5/11/2022,"4,500.00",1085
Suertres Lotto 4PM,3-1-1,5/11/2022,"4,500.00",411
Suertres Lotto 9PM,9-1-4,5/11/2022,"4,500.00",442
EZ2 Lotto 11AM,14-23,5/11/2022,"4,000.00",242
EZ2 Lotto 4PM,16-17,5/11/2022,"4,000.00",136
EZ2 Lotto 9PM,16-30,5/11/2022,"4,000.00",273
Ultra Lotto 6/58,46-29-10-38-48-56,5/10/2022,"73,122,256.00",0
Superlotto 6/49,44-05-17-48-13-43,5/10/2022,"71,360,581.00",1
Lotto 6/42,07-13-18-02-28-37,5/10/2022,"8,509,629.80",0
6Digit,3-7-5-5-7-5,5/10/2022,"2,620,460.00",1
Suertres Lotto 11AM,5-4-0,5/10/2022,"4,500.00",304
Suertres Lotto 4PM,6-2-4,5/10/2022,"4,500.00",240
Suertres Lotto 9PM,4-0-4,5/10/2022,"4,500.00",481
EZ2 Lotto 11AM,13-21,5/10/2022,"4,000.00",202
EZ2 Lotto 4PM,29-25,5/10/2022,"4,000.00",41
EZ2 Lotto 9PM,09-27,5/10/2022,"4,000.00",582
Grand Lotto 6/55,32-08-11-33-42-41,5/9/2022,"86,950,282.20",0
Megalotto 6/45,21-03-19-01-39-36,5/9/2022,"18,017,557.80",0
4Digit,4-7-9-2,5/9/2022,"23,884.00",27
Suertres Lotto 11AM,7-1-9,5/9/2022,"4,500.00",203
Suertres Lotto 4PM,8-9-7,5/9/2022,"4,500.00",115
Suertres Lotto 9PM,8-8-4,5/9/2022,"4,500.00",131
EZ2 Lotto 11AM,10-13,5/9/2022,"4,000.00",250
EZ2 Lotto 4PM,12-03,5/9/2022,"4,000.00",136
EZ2 Lotto 9PM,29-31,5/9/2022,"4,000.00",108
Ultra Lotto 6/58,25-53-56-14-48-06,5/8/2022,"69,961,695.00",0
Superlotto 6/49,18-24-04-26-47-36,5/8/2022,"67,522,822.80",0
Suertres Lotto 11AM,9-7-6,5/8/2022,"4,500.00",201
Suertres Lotto 4PM,1-3-9,5/8/2022,"4,500.00",279
Suertres Lotto 9PM,7-6-2,5/8/2022,"4,500.00",258
EZ2 Lotto 11AM,08-04,5/8/2022,"4,000.00",251
EZ2 Lotto 4PM,03-19,5/8/2022,"4,000.00",233
EZ2 Lotto 9PM,07-04,5/8/2022,"4,000.00",784
Grand Lotto 6/55,25-27-19-45-14-20,5/7/2022,"83,681,670.20",0
Lotto 6/42,14-24-08-16-22-37,5/7/2022,"6,051,682.00",0
6Digit,9-0-4-8-5-4,5/7/2022,"2,223,385.18",0
Suertres Lotto 11AM,2-8-5,5/7/2022,"4,500.00",303
Suertres Lotto 4PM,4-0-6,5/7/2022,"4,500.00",144
Suertres Lotto 9PM,2-5-7,5/7/2022,"4,500.00",553
EZ2 Lotto 11AM,16-11,5/7/2022,"4,000.00",180
EZ2 Lotto 4PM,30-21,5/7/2022,"4,000.00",42
EZ2 Lotto 9PM,19-09,5/7/2022,"4,000.00",279
Ultra Lotto 6/58,29-11-36-02-57-03,5/6/2022,"66,483,855.20",0
Megalotto 6/45,42-40-07-20-30-13,5/6/2022,"15,660,042.40",0
4Digit,7-8-4-4,5/6/2022,"19,992.00",36
Suertres Lotto 11AM,0-2-7,5/6/2022,"4,500.00",136
